SYM,DATE,OPEN,HIGH,LOW,CLOSE,VOL
ADXS,20150102,7.87,8.62,7.87,8.42,896400
ADXS,20150105,8.43,9.1,8.2,8.67,869600
ADXS,20150106,8.6,8.74,7.76,7.99,758000
ADXS,20150107,8.37,9.45,8.22,9.12,1338700
ADXS,20150108,9.31,10.6,9.22,10.41,1861900
ADXS,20150109,10.38,11.75,9.69,11.3,1637000
ADXS,20150112,11.21,13.17,10.71,12.09,1940800
ADXS,20150113,12.01,12.88,11.28,11.73,2649100
ADXS,20150114,11.62,12.42,11.1,12.2,1204200
ADXS,20150115,12.32,12.55,11.71,12.33,1450600
ADXS,20150116,12.3,13.53,12.1,13.51,1876600
ADXS,20150120,13.56,13.74,11.51,11.76,2786400
ADXS,20150121,11.88,11.94,8.26,8.37,7213100
ADXS,20150122,7.93,8.29,6.8,7.43,7758600
ADXS,20150123,7.44,8.35,7.44,7.73,1872600
ADXS,20150126,7.81,8.33,7.49,8.23,1131800
ADXS,20150127,8.15,10.19,7.8,9.89,5370700
ADXS,20150128,10.86,11.08,9.1,9.16,4234300
ADXS,20150129,8.98,10.3,8.64,10.14,1652100
ADXS,20150130,9.66,10.25,9.6,9.85,821000
ADXS,20150202,9.87,10.06,9.17,9.6,707000
ADXS,20150203,9.57,9.58,8.53,8.74,982000
ADXS,20150204,8.7,8.75,7.55,7.73,1837700
ADXS,20150205,7.72,8.34,7.66,7.95,804300
ADXS,20150206,7.85,8.3,7.5,7.53,884700
ADXS,20150209,7.51,7.89,7.19,7.31,689200
ADXS,20150210,7.3,7.47,6.87,7.02,705200
ADXS,20150211,7.83,8.15,7.35,7.46,1523300
ADXS,20150212,7.3,7.39,7.02,7.12,538600
ADXS,20150213,7.12,7.39,6.95,7.18,519800
ADXS,20150217,7.18,7.83,7.02,7.5,547000
ADXS,20150218,7.53,8.66,7.25,8.59,1643700
ADXS,20150219,8.5,8.84,8.18,8.3,916400
ADXS,20150220,8.25,8.58,8.02,8.22,594300
ADXS,20150223,8.38,9.05,8.28,8.57,1070000
ADXS,20150224,8.62,8.65,8.26,8.3,403000
ADXS,20150225,8.29,8.93,8.26,8.9,596500
ADXS,20150226,9,9.85,8.94,9.73,970000
ADXS,20150227,9.86,9.9,8.97,9,759100
