SYM,DATE,OPEN,HIGH,LOW,CLOSE,VOL
FAS,20150102,32.3275,32.505,31.2,31.885,1316400
FAS,20150105,31.38,31.5,29.88,30.0725,1520900
FAS,20150106,30.29,30.35,28.5,28.89,2129900
FAS,20150107,29.7025,30.005,29.125,29.87,1610500
FAS,20150108,30.575,31.305,30.525,31.1675,1336800
FAS,20150109,31.1825,31.275,29.92,30.085,1325800
FAS,20150112,30.07,30.2,29.1025,29.425,1260900
FAS,20150113,29.9,30.525,28.5075,29.165,1810000
FAS,20150114,28.1225,28.2875,27,28.0675,2566600
FAS,20150115,27.88,28.2375,26.9825,27.165,2078000
FAS,20150116,26.9825,28.14,26.695,28.11,1899600
FAS,20150120,28.405,28.6375,27.42,27.7675,1445200
FAS,20150121,27.595,28.3,27.2125,27.9175,1080700
FAS,20150122,28.385,29.93,27.8225,29.8025,2019700
FAS,20150123,29.595,29.9425,29.0425,29.0675,1191100
FAS,20150126,29.0025,29.525,28.65,29.5075,730000
FAS,20150127,28.5525,29.14,28.255,28.6175,1455200
FAS,20150128,28.96,29.045,27.11,27.1475,1864100
FAS,20150129,27.3125,27.925,26.7725,27.7925,1673000
FAS,20150130,27.34,27.86,26.63,26.69,1941900
FAS,20150202,27.0025,27.84,26.125,27.7475,1838800
FAS,20150203,28.1075,29.11,28.0175,29.075,1945300
FAS,20150204,28.7,29.595,28.7,28.9725,1420500
FAS,20150205,29.285,29.9825,29.125,29.925,1142300
FAS,20150206,30.395,31.035,29.955,30.1725,1991700
FAS,20150209,29.8025,30.1925,29.58,29.8,1075900
FAS,20150210,30.4,30.5,29.72,30.4325,974400
FAS,20150211,30.1775,30.6425,29.8625,30.37,897000
FAS,20150212,30.6425,31.525,30.55,31.4475,1461400
FAS,20150213,31.4875,31.645,31.005,31.3825,1131100
FAS,20150217,31.1125,31.8525,31.0775,31.6775,832800
FAS,20150218,31.43,31.525,31.01,31.2625,897000
FAS,20150219,31.025,31.2175,30.715,30.9025,923200
FAS,20150220,30.605,31.7425,30.2725,31.6725,1666200
FAS,20150223,31.5,31.5525,30.9675,31.425,953800
FAS,20150224,31.535,31.9575,31.3875,31.6925,1283600
FAS,20150225,31.6075,32.035,31.565,31.73,885400
FAS,20150226,31.61,31.715,31.1475,31.4575,780800
FAS,20150227,31.2725,31.535,31.0425,31.0875,531200
