SYM,DATE,OPEN,HIGH,LOW,CLOSE,VOL
GMCR,20150102,132.81,134.66,130.85,131.97,1015800
GMCR,20150105,131.21,131.92,129.24,129.72,1103000
GMCR,20150106,129.81,130.1,126.54,127.19,2291100
GMCR,20150107,130.7,135.35,130.53,133.02,1819700
GMCR,20150108,135,137.32,134.31,136.49,2326300
GMCR,20150109,138.12,139.74,137.65,137.71,1565500
GMCR,20150112,137.99,138,133.8,133.91,1389400
GMCR,20150113,135.45,135.54,130.19,131.11,1638800
GMCR,20150114,130.37,131.73,128.71,129.41,1313200
GMCR,20150115,129.69,130.33,127.02,127.37,1744800
GMCR,20150116,127.41,129,127.41,129,1661500
GMCR,20150120,129.41,132.32,128.85,131.85,1055900
GMCR,20150121,131.17,135.21,130.65,134.79,1405600
GMCR,20150122,134.9,135.47,132,134.7,1792400
GMCR,20150123,134.48,136.35,130.4,131.08,1916600
GMCR,20150126,131.14,133.76,129.02,131.64,2254500
GMCR,20150127,130.03,130.69,127.45,128.72,1690200
GMCR,20150128,128.45,129.75,126.41,126.9,1398700
GMCR,20150129,126.83,128.04,125.03,127.98,1522000
GMCR,20150130,125.44,126.36,121.4,122.56,2499500
GMCR,20150202,121.64,124.86,120.1,124.82,2290700
GMCR,20150203,126.9,127.12,123.75,126.09,2201600
GMCR,20150204,126.71,126.71,121.01,121.2,6190200
GMCR,20150205,110.01,118.1,109.06,115.3,10099700
GMCR,20150206,115.33,118.92,112.95,118.9,3650500
GMCR,20150209,118.05,118.5,116.4,116.72,2107400
GMCR,20150210,116.98,118.19,114.92,117.9,1986100
GMCR,20150211,117.27,119.76,117.25,119.45,1382900
GMCR,20150212,119.71,119.71,117.83,117.97,1239400
GMCR,20150213,117.81,119.06,116.57,118.53,2856700
GMCR,20150217,118.49,118.59,117.36,117.93,1168200
GMCR,20150218,117.76,118.52,117.51,118.2,918400
GMCR,20150219,118.88,120.59,117.84,120.28,1367900
GMCR,20150220,120.53,123.5,118.9,122.87,2215700
GMCR,20150223,123.27,124.8,122.53,124.72,1421400
GMCR,20150224,124.03,125.56,122.87,125.39,1500600
GMCR,20150225,125.55,125.55,123.64,124.1,1108200
GMCR,20150226,124.09,124.97,123.23,124.89,991900
GMCR,20150227,125.04,127.86,125.04,127.58,1489100
