SYM,DATE,OPEN,HIGH,LOW,CLOSE,VOL
NFLX,20150102,49.1514,50.3314,48.7314,49.8486,1924900
NFLX,20150105,49.2586,49.2586,47.1471,47.3114,2595000
NFLX,20150106,47.3471,47.64,45.6614,46.5014,2291100
NFLX,20150107,47.3471,47.4214,46.2714,46.7429,1407100
NFLX,20150108,47.12,47.8357,46.4786,47.7786,1374800
NFLX,20150109,47.66,48.02,46.8986,47.0414,1368200
NFLX,20150112,47.09,47.1986,45.2643,45.5471,1849200
NFLX,20150113,46.0214,47.0486,45.9,46.2557,2675600
NFLX,20150114,47.0714,47.37,45.68,46.32,2840600
NFLX,20150115,46.5471,46.7857,45.8443,46.2514,1668300
NFLX,20150116,46.8571,48.25,46.3814,48.1914,2813700
NFLX,20150120,48.5714,50,47.7143,49.8286,5793000
NFLX,20150121,59.2343,59.24,57.41,58.4686,9557500
NFLX,20150122,58.5029,61.3743,57.8286,61.2057,4759900
NFLX,20150123,60.9886,62.7429,60.8814,62.4929,3826300
NFLX,20150126,62.5714,63.8986,61.9571,63.7943,3038400
NFLX,20150127,63.0943,65.34,63.05,64.8814,3516000
NFLX,20150128,64.7286,64.8214,63.0814,63.2086,3504600
NFLX,20150129,63.2043,63.9271,62.5,63.4,2161100
NFLX,20150130,63.1329,63.9843,62.6557,63.1143,1887900
NFLX,20150202,62.8429,63.4286,61.9557,63.01,1855800
NFLX,20150203,63.32,65.4671,62.73,65.2743,2348500
NFLX,20150204,65.0414,65.1743,63.89,64.1014,1778700
NFLX,20150205,64.5414,65.1386,63.6657,64.13,2035500
NFLX,20150206,64.25,64.4286,63.1757,63.48,1271100
NFLX,20150209,63.1986,63.7857,62.6371,63.2957,1168400
NFLX,20150210,63.46,65.1571,63.1014,64.85,2202600
NFLX,20150211,64.83,66.1414,64.5571,64.9843,1993300
NFLX,20150212,65.0029,65.6071,64.4514,65.2471,1210200
NFLX,20150213,65.4257,66.63,65.4229,66.5857,1852600
NFLX,20150217,66.5157,67.3714,65.9443,67.1371,1595700
NFLX,20150218,67.0229,68.07,66.6457,67.8657,1473800
NFLX,20150219,67.86,68.7143,67.5743,67.8,1491200
NFLX,20150220,67.95,68.3743,67.6371,68.3143,1345900
NFLX,20150223,68.22,68.3143,67.1429,67.4057,1290200
NFLX,20150224,67.3729,68.0829,67.3557,67.84,867800
NFLX,20150225,67.8071,68.7943,67.8071,68.3329,979900
NFLX,20150226,68.6257,69.5,68.43,69.0043,1550400
NFLX,20150227,69.0814,69.4286,67.8186,67.8443,1645200
