SYM,DATE,OPEN,HIGH,LOW,CLOSE,VOL
QUNR,20150102,28.03,28.67,28.03,28.47,575100
QUNR,20150105,28.47,28.92,28.18,28.56,710600
QUNR,20150106,28.49,28.77,26.4,27.78,774700
QUNR,20150107,28.29,28.29,27.24,27.71,999700
QUNR,20150108,28.02,29.2,27.72,28.76,511200
QUNR,20150109,28.9,29.19,28.7,29.05,453800
QUNR,20150112,28.79,29.6,28.47,29.37,749100
QUNR,20150113,29.5,30.38,29.5,30.07,2048100
QUNR,20150114,29.87,30.24,29.51,29.99,955500
QUNR,20150115,29.86,30,28.96,29.35,708500
QUNR,20150116,29.39,29.57,28.87,29.07,646500
QUNR,20150120,29.21,29.49,28.21,28.94,586900
QUNR,20150121,28.99,29.85,28.68,29.54,429300
QUNR,20150122,29.6,30.13,29.39,29.72,738000
QUNR,20150123,29.8,30.03,29.41,29.79,538400
QUNR,20150126,29.67,30,29.52,29.88,204800
QUNR,20150127,29.56,30.09,29.56,29.82,202700
QUNR,20150128,28.8,29.98,28.8,29.53,227300
QUNR,20150129,29.35,29.35,28.04,28.75,520300
QUNR,20150130,28.71,29.76,28.49,29.34,629500
QUNR,20150202,29.18,29.5,28.87,29.14,493000
QUNR,20150203,29.22,29.66,28.7,29,364600
QUNR,20150204,29,30.19,29,30.12,868000
QUNR,20150205,30,30.48,29.67,30.29,764300
QUNR,20150206,30.07,30.55,29.87,30.09,1205400
QUNR,20150209,30.11,30.11,29.1,29.42,488100
QUNR,20150210,29.47,29.57,28.71,29.2,295600
QUNR,20150211,29.11,29.28,28.6,28.8,264600
QUNR,20150212,28.78,28.79,28.02,28.4,465000
QUNR,20150213,28.31,28.71,28.09,28.42,441600
QUNR,20150217,28.53,29,28.33,28.71,1047100
QUNR,20150218,28.77,29.19,28.55,28.69,766600
QUNR,20150219,28.62,29.03,28.62,28.84,327500
QUNR,20150220,28.98,29.38,28.78,28.82,292000
QUNR,20150223,28.75,28.79,28.31,28.42,233500
QUNR,20150224,28.4,28.63,28.23,28.39,220400
QUNR,20150225,28.37,28.45,27.89,28,374500
QUNR,20150226,28.09,28.32,27.8,27.84,498400
QUNR,20150227,27.74,27.96,26.85,27.19,977300
