SYM,DATE,OPEN,HIGH,LOW,CLOSE,VOL
TQQQ,20150102,98.87,100.13,95.16,96.65,2546400
TQQQ,20150105,95.25,95.6,91.5,92.3,2646200
TQQQ,20150106,92.63,93.17,87.37,88.64,3513400
TQQQ,20150107,90.33,92.64,89.72,92.05,2863800
TQQQ,20150108,94.42,97.85,94.1,97.3,3019500
TQQQ,20150109,98.22,98.32,93.71,95.33,3779600
TQQQ,20150112,96,96.22,91.64,92.4,3442700
TQQQ,20150113,95.01,97.98,90.1,92.32,4160500
TQQQ,20150114,89.39,92.13,88.34,90.9,4503100
TQQQ,20150115,91.94,92.45,86.91,87.29,4083500
TQQQ,20150116,86.86,90.62,86.43,90.4,2954100
TQQQ,20150120,91.92,93.07,88.84,92.4,2956100
TQQQ,20150121,91.56,95.08,90.64,93.82,2781900
TQQQ,20150122,95,99.3,92.48,99.04,3388600
TQQQ,20150123,99.04,100.59,98.14,99.7,2965700
TQQQ,20150126,99.4,99.9,97.82,99.48,2100100
TQQQ,20150127,94.75,94.81,90.64,91.78,4666300
TQQQ,20150128,95.99,96.3,90.14,90.2,3936000
TQQQ,20150129,89.89,93.26,87.6,92.81,3678200
TQQQ,20150130,92.49,94.65,90.26,90.68,4546200
TQQQ,20150202,91.17,93.2,86.98,93.06,4142500
TQQQ,20150203,93.84,95.83,92.18,95.6,3798500
TQQQ,20150204,94.4,97.28,93.82,95.35,2596400
TQQQ,20150205,96.03,98.01,95.44,97.88,2090100
TQQQ,20150206,98.34,98.95,95.03,96.1,2573400
TQQQ,20150209,94.95,96.46,94.45,95.04,1995600
TQQQ,20150210,96.79,99.95,96.26,99.59,2484400
TQQQ,20150211,99.93,101.32,99.34,100.71,2538600
TQQQ,20150212,102.52,104.27,102.17,104.23,3189500
TQQQ,20150213,105.06,106.88,104.5,106.86,2518700
TQQQ,20150217,106.84,107.33,106.07,107.15,1723400
TQQQ,20150218,106.79,107.74,106.3,107.61,1468300
TQQQ,20150219,107.35,109.39,107.3,109.23,1574700
TQQQ,20150220,108.97,111.55,107.94,111.33,1891100
TQQQ,20150223,111.27,111.78,110.47,111.77,1645200
TQQQ,20150224,111.28,112.33,110.27,112,2179200
TQQQ,20150225,111.41,112.73,110.37,111.1,2344800
TQQQ,20150226,111.42,112.93,110.5,112.79,2423500
TQQQ,20150227,112.68,112.86,110.76,111.3,1849700
