SYM,DATE,OPEN,HIGH,LOW,CLOSE,VOL
VLTC,20150102,0.65,0.69,0.63,0.66,14900
VLTC,20150105,0.68,0.84,0.68,0.82,47800
VLTC,20150106,0.84,0.94,0.78,0.84,39500
VLTC,20150107,0.84,0.89,0.8,0.8,11500
VLTC,20150108,0.84,0.89,0.78,0.89,40900
VLTC,20150109,0.87,0.87,0.8,0.85,10800
VLTC,20150112,0.89,0.9,0.79,0.82,22900
VLTC,20150113,0.84,0.85,0.81,0.84,7700
VLTC,20150114,0.85,0.85,0.84,0.84,4400
VLTC,20150115,0.84,0.85,0.83,0.85,12600
VLTC,20150116,0.85,1.57,0.8,1.22,2069600
VLTC,20150120,1.18,1.2,1.02,1.14,183400
VLTC,20150121,1.14,1.14,1.02,1.11,46300
VLTC,20150122,1.02,1.06,0.92,0.93,72700
VLTC,20150123,0.96,1.04,0.93,0.93,71700
VLTC,20150126,0.93,0.99,0.9,0.99,24800
VLTC,20150127,0.99,1.04,0.98,1,17900
VLTC,20150128,1,1,0.95,0.95,5100
VLTC,20150129,0.91,1.07,0.9,0.99,22700
VLTC,20150130,1.02,1.07,1.01,1.05,31800
VLTC,20150202,1.06,1.07,0.94,1,11200
VLTC,20150203,0.98,1,0.93,0.94,11200
VLTC,20150204,0.98,1.07,0.91,0.94,15700
VLTC,20150205,0.95,0.95,0.92,0.95,17700
VLTC,20150206,0.91,0.95,0.9,0.93,25100
VLTC,20150209,0.91,0.95,0.91,0.91,23700
VLTC,20150210,0.94,0.94,0.91,0.94,7600
VLTC,20150211,0.91,0.94,0.87,0.87,20200
VLTC,20150212,0.84,0.89,0.81,0.81,21900
VLTC,20150213,0.8,0.83,0.77,0.77,25400
VLTC,20150217,0.77,0.8,0.76,0.77,17100
VLTC,20150218,0.77,0.77,0.74,0.75,23000
VLTC,20150219,0.78,0.79,0.75,0.77,15100
VLTC,20150220,0.79,0.79,0.74,0.77,12000
VLTC,20150223,0.73,0.73,0.67,0.69,43500
VLTC,20150224,0.75,0.75,0.73,0.73,3800
VLTC,20150225,0.68,0.78,0.68,0.73,6400
VLTC,20150226,0.72,0.76,0.72,0.74,6600
VLTC,20150227,0.75,0.76,0.72,0.72,7500
